SMILES,Code
O[C@H]1[C@@H](O)[C@@H](OP([O-])([O-])=O)[C@H](OP([O-])([O-])=O)[C@@H](OP([O-])([O-])=O)[C@@H]1OP([O-])([O-])=O,10-9-21
Cc1ccc2OCCCCOc3cccc(Sc4cc(nc(N)n4)-c1c2)c3,22-17-25
CCNCCCCNc1ncc2CN(C(=O)N(Cc3cccc(NC(=O)C=C)c3)c2n1)c1c(Cl)c(OC)cc(OC)c1Cl,31-12-26
CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OC1[C@H](O)[C@H](OP([O-])([O-])=O)C(OP([O-])([O-])=O)[C@H](OP([O-])([O-])=O)[C@H]1O)OC(=O)CCCCCCCCCCCCCCC,10-15-14
Cc1nn(C)cc1-c1nc2ncc(Cl)c(N3CCN(Cc4ccc(Cl)cc4)CC3)c2[nH]1,31-15-15
CCN1\C(=C|C=C|C=C|C2=[N+](CC)c3cc(ccc3C2(C)C)S([O-])(=O)=O)C(C)(CCCC(=O)NCCOCCOCCOCCOCc2nnc(N3CC(C3)Oc3ccc(F)cc3Cl)n2-c2ccc(OC)[nH+]c2)c2cc(ccc12)S(O)(=O)=O,9-29-17
COc1cccc(c1)-c1cn(nn1)[C@H]1[C@@H](O)[C@@H](CO)O[C@@H](SC)[C@@H]1O,0-11-19
COc1cc(OC)c2CN(CCN(c3ccc4ncc(nc4c3)-c3cnn(C)c3)c2c1)C(C)C,31-31-11
Cc1nnc2[C@H](CC(=O)OC(C)(C)C)N=C(c3c(C)c(C)sc3-n12)c1ccc(Cl)cc1,24-20-2
COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1,14-10-26
Cn1cc(CN2CCC[C@H](C2)NC(=O)N2CCc3[nH]nc(c3C2)-c2ccncc2)c2ccccc12,31-23-2
COc1nc2ccc(cc2c(Cl)c1OCCN1CCOCC1)C(O)(c1cnnn1C)c1ccc(C)nc1C,12-27-10
Cc1cc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)ccc1F,31-16-13
C\C(\C=C\C1CC1(C)c1cc2c(cc1C)C(C)(C)CCC2(C)C)=C|C(O)=O,13-27-0
COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(nn4-c4ccccc4)C(C)(C)C)c3F)c2cc1OC,31-22-22
COc1cc(Oc2ccnc3cc(OC)c(OC)cc23)ccc1NC(=O)NC(C)c1nccs1,31-22-16
CC(C)C[C@H](NC(=O)CNC(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](N)CCC(N)=O)C(C)(C)S)[C@@H](C)O)C(=O)N[C@@H](Cc1ccccn1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CS)C(=O)N[C@@H](CC(N)=O)C(=O)NCC(=O)N1CCC[C@H]1C(O)=O,8-25-15
CC(C)(C)NCC(O)c1cc(O)cc(O)c1,17-20-16
CCCCCc1cc(OC)c(CC=C(C)C)c(O)c1C(O)=O,14-19-10
Nc1cc(CN2CCC(CC2)C(=O)N2CCC(CC2)n2c3ccc(F)cc3n(C3CCCC3)c2=O)ccn1,20-28-16
Cc1c(CC(O)=O)c2cccnc2n1Cc1ccc(cc1C(F)(F)F)S(C)(=O)=O,11-29-6
CCN(CC)CCCNc1cc2nc3\C(CCn3c(=O)c2cc1F)=C\c1cc(OC)c(OC)c(OC)c1,18-20-20
Oc1ccc2CC3N(CC4CC4)CCC45C(Oc1c24)c1[nH]c2cc(ccc2c1CC35O)N=C=S,9-18-22
Cc1cc(C)n2B(F)[N+]3=C(CCC(=O)NCCCCC(=O)NCCOc4ccc(Nc5ncnc(n5)-c5cccnc5Nc5cc(NC(=O)c6cccc(c6)C(F)(F)F)ccc5C)cc4)C=CC3=Cc12,31-7-14
COc1cc2nc(cnc2cc1OCCN1CCOCC1)-c1ccc(CC(=O)Nc2cc(nn2C)C(C)(C)C(F)(F)F)c(F)c1,31-18-16
COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(on4)C(C)(CF)CF)c3F)c2cc1OC,31-15-17
OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@@H](OCCCN=[N+]=[N-])[C@H](NC(=O)c3ccccc3)[C@H]2O)[C@H](O)[C@@H](OCc2ccc(Oc3ccccc3)cc2)[C@H]1O,3-10-20
Fc1ccc(cc1)C(=O)N1CCN(C(=O)C1)c1ccc(OCCCN2CCCCC2)cc1,20-29-19
CCOC(=O)c1ccnc(CNCC(=O)N(CC)CCN(C)C)c1,23-17-2
Cc1ccc(C(O)=O)c(c1)C(=O)c1ccc(O)cc1,16-11-8
CC(C)NC(=S)NCCCCCc1cnc[nH]1,21-20-20
NC(=N)N1C2CC(CC1C1OC21)OC(=O)C(CO)c1ccccc1,14-20-21
C[N+]12CCC(CC1)\C(C2)=N\OCC#CCOc1ccon1,19-23-20
CC(C)OC(=O)c1ccc(NC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@H]2CCC[N+](C)(Cc3ccc(O)cc3)C2)s1,13-21-21
CC1(C)CCC(C)(C)c2cc(ccc12)C(=O)Nc1ccc(cc1)C(O)=O,12-18-0
NS(=O)(=O)c1ccc(Nc2ncnc(Cl)c2[N+]([O-])=O)cc1,1-1-0
CCCS(=O)(=O)Nc1cc(F)c(C(=O)c2c[nH]c3ncc(cc23)-c2ccc(Cl)cc2)c(F)c1,30-9-12
Clc1cccc2CCCC(Nc3nc4ccccc4[nH]3)c12,16-20-13
NC(=O)c1cccc(Br)c1,20-14-14
COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(no4)C(C)(C)C(F)(F)F)c3)c2cc1OC,31-18-16
Cc1ccc(cn1)-c1ncn(n1)-c1ccc(Nc2nccc(n2)-c2cccc(c2)N2CCOCC2)cc1,31-11-26
Cc1nc2c(N)cc(nn2c1Nc1cccc(c1C)C(F)(F)F)N1CCOCC1,26-13-25
CCN1Cc2ccc(NC(=O)c3ccc(C(=O)N4CCC(CC4)C4CCCN4)c(Nc4ccccc4)c3)cc2C1,30-11-17
CCCCCCCCCC(=O)Nc1ccc(cc1)S(=O)(=O)Nc1nnc(s1)C(C)(C)C,2-7-9
[O-][N+](=O)c1cc(N\N=C2\C(=O)N(N=C2c2ccccc2)c2nc(cs2)-c2ccccc2)ccc1Cl,19-13-10
CN(CCCCCCCCN(C)CCCCCCN(CC(=O)N1c2ccccc2C(=O)Nc2cccnc12)CC(=O)N1c2ccccc2C(=O)Nc2cccnc12)CCCCCCN(CC(=O)N1c2ccccc2C(=O)Nc2cccnc12)CC(=O)N1c2ccccc2C(=O)Nc2cccnc12,12-18-18
O=C(COc1ccc(cc1)C(=O)c1ccccc1)NC1CCN(Cc2ccccc2)CC1,17-14-18
CO[C@]12CC[C@@]3(C[C@@H]1C(C)(C)O)[C@H]1Cc4ccc(O)c5O[C@@H]2[C@]3(CCN1CC1CC1)c45,10-18-23
C\C(\C=C\C1CC1(C)c1cc2c(cc1C)C(C)(C)CCC2(C)C)=C\C(O)=O,13-27-0
CC[C@H](C)[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)CNC(=O)C(N)CCCCn1cc(CCCCNC(=O)CCCCCn2nc(N)c3cc(nnc23)-c2c(nn3ccccc23)-c2ccccc2)nn1)[C@@H](C)O)[C@@H](C)CC)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCCN)C(O)=O,23-11-3
Oc1ccc(CCNCCN(C2CCCCC2)C(=O)CCNCCc2ccc(Cl)c(Cl)c2)c2OCC(=O)Nc12,17-14-16
COC(=O)[C@@H](NC(C)=O)[C@@H](C)O[C@H]1O[C@H](CO[C@@]2(C[C@H](O)[C@@H](NC(C)=O)[C@@H](O2)[C@H](O)[C@H](O)CO)C([O-])=O)[C@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@]3(C[C@H](O)[C@@H](NC(C)=O)[C@@H](O3)[C@H](O)[C@H](O)CNC(=O)c3ccc(F)cc3)C([O-])=O)[C@H]2O)[C@H]1NC(C)=O,0-14-19
Cc1c(Cc2c(CO)nc3c(cc(nn23)N2CCOCC2)C(O)=O)cccc1C(F)(F)F,26-13-25
COc1ccc(CN(CCN(C)CCCCCCCCNC(=O)c2ccc(C(O)=O)c(c2)-c2c3ccc(O)cc3oc3cc(=O)ccc23)c2ccccn2)cc1,14-20-21
COc1cccc(F)c1CN1CCC[C@H](C1)NC(=O)N1CCc2[nH]nc(c2C1)-c1ccc2nccn2c1,31-26-0
CN1CCCC[C@@H]1[C@H](O)COc1ccccc1,18-12-15
Nc1nc(N)c2cc(NCc3ccc(O)cc3)ccc2n1,18-10-20
Fc1cc2CN(C(=O)c2cc1-c1cccnc1)c1cccc(n1)-c1nncn1C1CC1,26-17-5
Oc1cc(Cl)c(Cl)c(Cl)c1,17-5-5
CCOC(=O)CCNCC(O)COc1ccc(OC)cc1,13-8-25
CCCCCCCN(CCc1ccc(O[C@](C)(CC)C(O)=O)cc1)c1nc2ccccc2o1,12-18-9
[Br-].[Br-].O\N=C\C(=O)Nc1ccc[n+](CC[n+]2cccc(NC(=O)\C=N\O)c2)c1,15-23-23
NS(=O)(=O)c1ccc(cc1)C(=O)NCc1ccccc1,0-3-0
Cc1c(ccc2nc(ccc12)N1CCNCC1)[N+]([O-])=O,20-19-21
COc1ccccc1NC(=O)CSc1nnc(-c2ccc(F)cc2)n1C,19-25-12
COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(nn4-c4ccc(=O)[nH]c4)C(C)(C)C)c3)c2cc1OC,31-23-21
COCCOc1cc2ncnc(Sc3cccc(NC(=O)Nc4cc(on4)C(C)(C)C)c3)c2cc1OC,31-15-21
COc1ccc(Cn2ccc(C)c(NC(=O)C(Cc3ccc(cc3)C(C)(C)C(O)=O)NC(=O)C(C)(C)c3cccc4ccccc34)c2=O)cc1,14-18-15
CCCCNc1ccc(cc1)C(=O)OCC[N+](C)(C)CCC[NH2+]CCC[NH3+],14-18-16
Clc1ccc2CCCC(Nc3nc4ccccc4[nH]3)c2c1,15-15-14
CC(C)NCC(O)COCc1ccccc1,14-12-19
CC(C)[C@H](NC(=O)CNC(=O)CNC(=O)CNC(=O)c1ccc(cc1)S(N)(=O)=O)C(O)=O,3-4-8
CC1=NN(C(=O)c2ccc(O)cc2)C(=O)C1\N=N\c1ccc(cc1)S(=O)(=O)Nc1ncccn1,10-26-18
COc1cc2nc(nc(N)c2cc1OC)N1CCN(CC1)C(=O)C1CCCO1,18-13-18
Oc1ccc(Br)cc1-c1cc(-c2cc(ccc2Cl)-c2ccccc2)c(C#N)c(=O)[nH]1,27-11-0
CC(C)NCC(O)COc1ccc(NC(C)=O)cc1,14-9-25
Cc1nc2c(cc(nn2c1Nc1cccc(c1C)C(F)(F)F)N1CCOCC1)C(N)=O,26-13-25
CCCCNS(=O)(=O)c1ccc(OCC(=O)N2CCOCC2)cc1,18-16-11
COc1nc2ccc(cc2c(Cl)c1CC1CC1)[C@](O)(C1CCN(CC1)C(C)=O)c1ccccc1,9-29-6
COc1nc2ccc(cc2c(Cl)c1C(=O)N(C)C)C(O)(c1cnnn1C)c1ccc(C)nc1C,13-25-9
Cn1cncc1[C@@](O)(c1ccc(nc1)C(F)(F)F)c1ccc2nc(Cl)c(CC(F)(F)F)c(N3CCC3)c2c1,8-26-13
OC(=O)CNC(=O)c1nc(Cl)c2ccccc2c1O,12-12-4
COc1ccccc1NC(=O)NCCNCC(O)COc1ccc(OCCOC2CCCC2)cc1,16-7-27
C[C@@H](O)[C@@H]1NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](Cc2ccc(CC(O)=O)cc2)NC(=O)CNC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2cc3ccccc3[nH]2)NC(=O)CSC[C@H](NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O)C(N)=O,9-21-17
COc1cc2CCN(CC3CCN(Cc4cc(C)cc(\C=N\O)c4O)CC3)Cc2cc1OC,17-10-28
COCCOc1cc(NC(=O)Nc2cccc(Oc3ncnc4cc(OC)c(OC)cc34)c2)ccc1C(F)(F)F,31-18-20
CC[C@H](C)[C@H]1NC(=O)[C@H](Cc2ccc(O)cc2)N(C)C(=O)CC2(CCCCC2)SSC[C@@H](NC(=O)[C@@H](CC(N)=O)NC(=O)[C@@H](NC1=O)[C@@H](C)O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCN)C(=O)N[C@@H](Cc1ccc(O)cc1)C(N)=O,11-24-16
CN(C(C)=O)C1(CCN(CCC[C@@]2(CCCN(C2)C(=O)c2ccccc2)c2ccc(Cl)c(Cl)c2)CC1)c1ccccc1,11-25-23
C(Cn1ccnc1-c1ccccc1)Oc1ccc(cc1)-c1nc2ccccc2n1Cc1ccccc1,12-24-15
Cc1ccc(Nc2nccc(n2)-c2ccnc(c2)N2CCN(CC[NH3+])CC2)cc1Cl,22-12-11
Clc1ccccc1C1CC(Nc2nnnn12)c1cccc(I)c1,17-27-8
Cc1nc2c(cc(nn2c1Nc1cccc(c1C)C(F)(F)F)N1CCOCC1)-c1ncc[nH]1,25-13-23
CCCCCCCCCCCCc1ccc(cc1)S(=O)(=O)Nc1nnc(CC(O)=O)s1,13-18-9
FC(F)(F)CN1CCC(CC1)NC(=O)c1ccc(Oc2ccccc2)nc1,18-19-14
Cc1cccc(OCCSc2nc3ccccc3n2CC(O)=O)c1C,15-22-9
CC(C)[C@H](OC(=O)[C@H](C)NC(=O)[C@@H](OC(=O)[C@H](C)NC(=O)OC(C)(C)C)C(C)C)C(O)=O,2-14-12
COc1cc2ncc(nc2cc1OC)-c1ccc(CC(=O)Nc2cc3n(CCC3(C)C)n2)c(F)c1,31-21-16
Cc1cc(O)c(CN2CCCC2)c2O\C(=C|c3cc4ccccc4o3)C(=O)c12,14-7-6
CC(C)C[C@H](N(C)C(=O)CNC(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](N)CCC(N)=O)C(C)(C)S)[C@@H](C)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CS)C(=O)N[C@@H](CC(N)=O)C(=O)NCC(=O)N1CCC[C@H]1C(O)=O,9-25-15
FC(F)(F)C1(CC1)c1cc(NC(=O)Cc2ccc(cc2)-c2cnc3ccsc3c2)no1,31-17-16
C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N(C)[C@@H](Cc1ccccc1)C(=O)NCCO,11-16-21
ONC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)Nc1ccccc1-c1ccccc1,0-10-7
CC[C@H](C)[C@@H]1NC(=O)C[C@H](NC(=O)[C@H](CCCNC(N)=N)NCCC(=O)NC(=S)Nc2ccc3c(c2)C(=O)OC32c3ccc(O)cc3Oc3cc(O)ccc23)C(=O)NCC(NC(=O)[C@H](CC(C)C)NC1=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(N)=O,9-26-16
N[C@H]1CN2CCC1CC2,17-24-20
COc1cc2ncnc(Sc3cccc(NC(=O)Nc4cc(nn4-c4ccccc4)C(C)(C)C(F)(F)F)c3)c2cc1OC,31-22-26
COc1nc2ccc(cc2c(Cl)c1C(=O)NC1CC1)C(O)(c1cnnn1C)c1ccc(C)nc1C,16-28-10
C(CCCCNCCCCCCNCc1cccnc1)CCCNCCCCCCNCc1cccnc1,17-14-16
CCCCNC(=S)N[C@H]1[C@@H](O)[C@@H](CO)O[C@@H](O[C@H]2[C@H](O)[C@@H](NC(C)=O)[C@H](OC)O[C@@H]2CO)[C@@H]1O,0-14-18
NS(=O)(=O)c1cc(ccc1Cl)C(=O)CSc1ncccn1,0-1-0
OC[C@H]1O[C@@H](SS[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O,2-15-23
CCCn1c(=O)n(CCCCC(=O)c2ccc(cc2)S(F)(=O)=O)c2nc([nH]c2c1=O)C1CC2CCC1C2,23-13-26
COc1cc2ncc(nc2cc1OC)-c1ccc(CC(=O)Nc2cc(n[nH]2)C2(CC2)C(F)(F)F)c(F)c1,31-19-16
Oc1cc(OCc2ccccc2)ccc1\C=C1|CCn2c1nc1cc(N3CCOCC3)c(F)cc1c2=O,22-20-10
CC(C)[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccc(cc2)[N+]([O-])=O)NC(=O)C(C)(C)CSSC[C@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1ccc(O)cc1)C(N)=O,12-24-15
NC(=O)c1ccc(cc1NC1CCC(O)CC1)-n1cccc1-c1ccc(Cl)cc1,31-26-0
CO[C@H]1C[C@H](C)Cc2c(O)c(NC(=O)C(C)=CC=C[C@H](OC)[C@@H](OC(N)=O)\C(C)=C\[C@H](C)[C@H]1NCC(F)(F)F)cc(O)c2N=CCN(C)C,25-10-24
FC(F)(F)C1(CC1)c1cc(NC(=O)Cc2ccc(cc2)-c2cnc3ccncc3c2)no1,31-18-17
CCOc1cc2ncnc(Sc3cccc(NC(=O)Nc4cc(on4)C(C)(C)C)c3)c2cc1OC,31-15-21
CN1CCN(CC1)c1ccc(Nc2ncc3nc(Nc4ccccc4)n(C4CCCC4)c3n2)cc1,31-16-21
CC1=NN(C(=O)c2ccccc2)C(=O)C1\N=N\c1ccc(cc1)S(=O)(=O)Nc1ncccn1,10-25-18
COc1cc2c(NC3CCN(CCCCCN)CC3)nc(NCCCN(C)C)nc2cc1OCCCCCN,27-15-16
CC1CN(CCO1)c1cc(N)c2nc(CO)c(Cc3cccc(c3C)C(F)(F)F)n2n1,27-15-26
Nc1ncnc2n([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c(NCc3ccc(F)cc3)nc12,24-8-13
COc1cc2c(cc1-c1c(C)noc1C)[nH]c1ccnc(-c3c(C)[nH]nc3C3CC3)c21,24-25-2
CC(C)C[C@@H](NC(=O)[C@H](CC1=CCCCC1)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](Cc1ccc(cc1)C(=O)c1ccccc1)NC(=O)OC(C)(C)C)C(=O)N[C@@H](CC1CCCCC1)C(O)=O,5-26-16
COC(=O)Cc1ccc(OCC(O)CNC(C)C)cc1,14-10-26
CN1CCN(Cc2c(Nc3c(C)nc4c(N)cc(nn34)N3CCOCC3)cccc2C(F)(F)F)CC1,26-11-26
NS(=O)(=O)c1c(F)c(F)c(Sc2ccccc2)c(F)c1F,0-1-0
CC(=O)n1cc(-c2c(C)n(n(c2=O)S(C)(=O)=O)S(C)(=O)=O)c2ccccc12,21-19-7
OCc1ccc(cc1O)-c1[nH]c(nc1-c1ccncc1)-c1ccccc1,29-25-11
Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP(O)(=O)O[C@@H]2[C@H](O)[C@@H](COP(O)(=O)O[C@@H]3[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O[C@H]3n3cnc4c(N)ncnc34)O[C@H]2n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O,16-5-26
CC(C)NS(=O)(=O)c1ccc(OCC(=O)N2CCOCC2)cc1,16-9-11
COc1nc2ccc(cc2c(Cl)c1CN1CCC(O)(CC1)C(F)(F)F)[C@@](O)(c1cncn1C)c1ccnc(c1)C(F)(F)F,7-27-6
CC(C)C[C@H](NC(=O)[C@@H](Cc1ccc(CNC(N)=O)cc1)NC(=O)[C@H](Cc1ccc(NC(=O)[C@@H]2CC(=O)NC(=O)N2)cc1)NC(=O)[C@H](CO)NC(=O)[C@@H](Cc1cccnc1)NC(=O)[C@@H](Cc1ccc(Cl)cc1)NC(=O)[C@@H](Cc1ccc2ccccc2c1)NC(C)=O)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)CO,14-28-19
CC(C)C[C@H](NC(=O)CNC(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](CS)NC(=O)[C@H](C)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](N)CCC(N)=O)[C@@H](C)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CS)C(=O)N[C@@H](CC(N)=O)C(=O)NCC(=O)N1CCC[C@H]1C(O)=O,8-26-13
C\C(CC[C@H]1C(=C)C[C@H](O)[C@H]2[C@](C)(CO)CCC[C@]12C)=C|[C@H](O)[C@H]1OC(=O)C=C1C,11-7-26
CC(C)C[C@H](NC(=O)[C@@H]1CSSC[C@H](N)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2CSSC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@@H]3CCCN3C(=O)[C@H](C)NC(=O)[C@H](CCCCN)NC2=O)[C@@H](C)O)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](Cc1cnc[nH]1)C(N)=O,10-23-15
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc12,16-20-22
OC(=O)c1ccc2ccncc2c1,20-11-9
COc1cccc(OC)c1OCCNC[C@H]1COc2cccc(Cl)c2O1,19-13-30
COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(on4)C(C)(C)C)c3)c2cc1O,31-18-16
CC(C)(C)NCC(O)CO,13-13-19
CCc1sc(CCO)c(C)[n+]1Cc1ccc(C)nc1N,14-6-27
Cc1nc2c(cc(nn2c1Cc1cccc(c1C)C(F)(F)F)C1=CCOCC1)C(O)=O,26-13-25
Cc1c(Nc2c(CO)nc3c(N)cc(nn23)N2CCOC(CO)C2)cccc1C(F)(F)F,26-15-25
C[C@H](O)[C@H]1NC(=O)[C@H](Cc2ccc(F)cc2)NC(=O)[C@@H](C)NC(=O)c2cc3cc(c2)C(=O)NC[C@H](NC(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](Cc2ccc4ccccc4c2)NC(=O)[C@H]2CCCCN2C1=O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccc2ccccc2c1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CNC3=O)C(=O)N[C@@H](CCCCN)C(O)=O,12-18-18
OC(=O)CCc1ccccc1CC1OCOC1c1nc(co1)C(=O)NCCc1ccc(Cl)cc1,11-21-8
CCC1(CC)CSSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccc(cc2)N=[N+]=[N-])NC1=O)C(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCCN)C(=O)N[C@H](Cc1ccc(O)cc1)C(N)=O,12-24-15
Cc1ccc(cc1)C1=CCC(C)(C)c2ccc(cc12)C#Cc1ccc(cc1)C(O)=O,10-19-0
COc1ccc(NC(=O)CSc2nnc([nH]2)-c2ccncc2)cc1,24-14-17
Cc1nc2c(N)cc(nn2c1Nc1cccc(c1CN1CCOCC1)C(F)(F)F)N1CCOCC1,26-12-25
Cc1c(Cc2c(CO)nc3c(cc(nn23)N2CCOCC2)C(N)=O)cccc1C(F)(F)F,27-13-26
COCCOc1ccc2ncnc(Sc3cccc(NC(=O)Nc4cc(on4)C(C)(C)C)c3)c2c1,31-12-20
CN[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1cccc2cc[nH]c12)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(O)=O)C(C)(C)C,8-20-18
Oc1ccc2n(c(nc2c1)-c1ccc(Cl)c(Cl)c1)-c1ccnc(NC2CCCCC2)c1,26-29-0
COc1nc2ccc(cc2c(Cl)c1CN1CCC(CC1)C(F)(F)F)[C@@](O)(c1cncn1C)c1ccc(nc1)C(F)(F)F,6-30-6
Cc1nc2c(N)cc(nn2c1Nc1cccc(c1CN1CCC(O)C1)C(F)(F)F)N1CCOCC1,25-13-24
[O-][N+](=O)c1cc(Nc2ccc3nonc3c2[N+]([O-])=O)ccc1Cl,27-18-19
CC(=O)N(O)CCC(c1ccc(Cl)c(Cl)c1)P(O)(O)=O,17-11-12
CC[C@H](C)[C@H]1NC(=O)[C@H](Cc2cc3ccccc3[nH]2)NC(=O)CC2(CCCCC2)SSC[C@H](NC(=O)[C@@H](CC(N)=O)NC(=O)[C@@H](NC1=O)[C@@H](C)O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCN)C(O)=O,11-25-17
NCCOc1c([nH]c(=O)c2cc(F)ccc12)-c1cccc(c1)C(F)(F)F,22-22-15
CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H]([C@H](C)CN2CCOCC2)N(C)C(=O)[C@@H](C)N(C)C1=O)C(C)C,8-20-19
OC(=O)c1cccc(NC(=O)CSc2nnc(-c3ccccc3O)n2-c2ccccc2)c1,19-10-10
CC(C)NCC(O)CO,15-12-21
Cc1ccc(cc1)-n1nc(cc1NC(=O)Nc1ccc(cc1)-c1csnn1)C(C)(C)C,26-18-15
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,16-19-16
Nc1ccc2ccccc2n1,17-14-16
NS(=O)(=O)c1c(F)c(F)c(c(NCc2ccccc2)c1F)S(=O)(=O)CCO,0-2-0
CC(C)[C@H](NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)CC(O)=O)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCCN)C(O)=O,12-15-16
